#{"t_start": 1703118391.8576486, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
1047.5,5000,63.555207,0.7792,1104
957.583333,5000,67.096382,0.7988,1006
988.666667,5000,71.921371,0.791,1045
977.033333,5000,75.397769,0.7932,1034
1020.583333,5000,78.910926,0.7862,1069
1012.666667,5000,82.474838,0.7858,1071
1065.083333,5000,86.014603,0.777,1115
1047.166667,5000,89.567398,0.7812,1094
983.033333,5000,93.056101,0.7906,1047
1031.1,5000,96.57101,0.7812,1094
1500.116667,5000,110.716252,0.684,1580
1609.783333,5000,123.580019,0.6596,1702
1633.083333,5000,136.902205,0.655,1725
1670.916667,5000,150.312487,0.6494,1753
1686.583333,5000,164.166078,0.6442,1779
1691.333333,5000,178.461113,0.642,1790
1800.416667,5000,192.395805,0.6232,1884
1872.333333,5000,206.075603,0.6088,1956
1831.916667,5000,220.684536,0.6174,1913
1906.7,5000,234.376783,0.5998,2001
1916.0,5000,249.420717,0.5986,2007
1901.5,5000,265.16133,0.601,1995
1868.166667,5000,279.663735,0.6078,1961
1901.333333,5000,295.225801,0.6036,1982
1841.283333,5000,309.004925,0.6118,1941
1955.283333,5000,323.210702,0.5882,2059
1945.033333,5000,337.28261,0.5922,2039
1901.166667,5000,351.161653,0.603,1985
1858.333333,5000,365.129274,0.6132,1934
1921.25,5000,379.566106,0.5964,2018
1944.916667,5000,394.088856,0.593,2035
1877.5,5000,408.46453,0.608,1960
1854.5,5000,422.774499,0.6098,1951
1910.333333,5000,437.113677,0.5996,2002
1854.666667,5000,451.452492,0.6126,1937
1923.833333,5000,465.893357,0.598,2010
1884.5,5000,480.300503,0.6058,1971
1865.0,5000,494.656729,0.6086,1957
1859.333333,5000,509.142552,0.6104,1948
1899.0,5000,523.490418,0.6024,1988
1940.0,5000,537.892361,0.596,2020
1879.583333,5000,552.321923,0.6072,1964
1925.25,5000,566.8541,0.5964,2018
1877.666667,5000,581.425531,0.6064,1968
1900.5,5000,595.714065,0.6008,1996
1928.833333,5000,610.014058,0.5958,2021
1983.666667,5000,625.608524,0.5886,2057
1851.5,5000,641.374901,0.6122,1939
1840.833333,5000,656.04412,0.6144,1928
1986.166667,5000,670.820723,0.584,2080
1907.833333,5000,685.337692,0.6016,1992
1942.333333,5000,699.877697,0.5942,2029
1935.333333,5000,714.68784,0.5908,2046
1913.666667,5000,729.17638,0.5994,2003
1844.166667,5000,743.056155,0.6136,1932
1929.75,5000,757.545724,0.5948,2026
1837.5,5000,771.499229,0.617,1915
1966.0,5000,786.266066,0.588,2060
1880.333333,5000,800.779511,0.6072,1964
1927.666667,5000,814.746828,0.598,2010
1952.416667,5000,828.550555,0.5924,2038
1923.666667,5000,842.298582,0.597,2015
1873.666667,5000,855.72907,0.6076,1962
1977.0,5000,869.352595,0.5878,2061
1940.0,5000,884.025407,0.5952,2024
1919.0,5000,898.678976,0.5986,2007
1895.666667,5000,912.827326,0.6008,1996
1882.0,5000,929.131971,0.6046,1977
1890.833333,5000,945.538415,0.603,1985
1876.0,5000,961.256689,0.6064,1968
1870.5,5000,977.666885,0.6114,1943
1900.666667,5000,993.71207,0.6008,1996
1969.666667,5000,1010.043153,0.587,2065
1852.833333,5000,1025.227307,0.6134,1933
1913.416667,5000,1039.795265,0.5998,2001
1891.416667,5000,1055.221873,0.6052,1974
1853.25,5000,1070.185909,0.6122,1939
1894.25,5000,1085.595628,0.6032,1984
1959.783333,5000,1101.549279,0.5914,2043
1846.5,5000,1116.797961,0.614,1930
1859.916667,5000,1131.551432,0.6082,1959
1944.166667,5000,1146.939337,0.5936,2032
1898.25,5000,1162.368842,0.6024,1988
1917.416667,5000,1178.839375,0.6012,1994
1840.166667,5000,1194.909801,0.614,1930
1986.833333,5000,1210.651392,0.5862,2069
1898.75,5000,1226.229529,0.6008,1996
1871.083333,5000,1241.892214,0.6092,1954
1909.833333,5000,1257.50416,0.5992,2004
1882.5,5000,1273.6431,0.6054,1973
1906.166667,5000,1290.461318,0.6008,1996
1856.0,5000,1307.366971,0.6114,1943
1878.5,5000,1323.772352,0.6062,1969
1899.833333,5000,1339.377722,0.6,2000
1930.0,5000,1354.175563,0.5966,2017
1859.666667,5000,1370.600755,0.6098,1951
1905.666667,5000,1385.890337,0.6024,1988
1850.0,5000,1401.291722,0.6122,1939
1922.166667,5000,1416.881421,0.5992,2004
1860.083333,5000,1432.240585,0.6108,1946
1948.366667,5000,1447.64534,0.5912,2044
1920.0,5000,1462.476723,0.5996,2002
1935.833333,5000,1477.406996,0.5938,2031
1913.166667,5000,1493.023741,0.5994,2003
1976.083333,5000,1508.326381,0.5868,2066
1864.583333,5000,1523.9814,0.61,1950
1991.166667,5000,1538.945288,0.5832,2084
1861.5,5000,1554.499284,0.6102,1949
1898.166667,5000,1570.386045,0.603,1985
1923.25,5000,1586.128406,0.5958,2021
1978.75,5000,1601.830612,0.5868,2066
1830.833333,5000,1617.645583,0.6152,1924
1960.5,5000,1633.056717,0.5932,2034
1892.333333,5000,1648.111006,0.6046,1977
1946.666667,5000,1662.632569,0.593,2035
1925.833333,5000,1677.366188,0.5956,2022
1897.5,5000,1692.529873,0.6006,1997
1896.666667,5000,1707.474849,0.6028,1986
1992.333333,5000,1723.225518,0.5822,2089
1864.0,5000,1738.808324,0.6082,1959
1951.5,5000,1754.104026,0.5908,2046
1886.916667,5000,1769.625673,0.6018,1991
1936.416667,5000,1786.137463,0.5944,2028
1884.333333,5000,1802.000886,0.604,1980
1924.833333,5000,1817.404381,0.597,2015
1948.916667,5000,1831.877399,0.5888,2056
1881.75,5000,1847.196083,0.6062,1969
1951.333333,5000,1862.651402,0.5934,2033
1880.416667,5000,1878.256458,0.6052,1974
1851.166667,5000,1893.816521,0.6134,1933
1924.666667,5000,1909.586273,0.5982,2009
1907.833333,5000,1924.923719,0.6028,1986
1871.416667,5000,1940.778256,0.6096,1952
1899.75,5000,1956.33194,0.604,1980
1898.666667,5000,1972.106711,0.6008,1996
1885.333333,5000,1987.338301,0.6048,1976
1867.916667,5000,2001.947055,0.6098,1951
1882.333333,5000,2017.198754,0.606,1970
1973.0,5000,2032.350728,0.5882,2059
1928.166667,5000,2047.590966,0.5954,2023
1930.833333,5000,2062.559528,0.5974,2013
1905.166667,5000,2078.772025,0.601,1995
1873.416667,5000,2094.334457,0.6056,1972
1974.083333,5000,2110.157563,0.5848,2076
1856.583333,5000,2125.196912,0.6108,1946
1884.5,5000,2139.929386,0.6044,1978
1862.25,5000,2155.004131,0.6094,1953
1879.5,5000,2169.115895,0.6066,1967
1928.0,5000,2184.385865,0.5942,2029
1898.333333,5000,2199.572979,0.6058,1971
1926.666667,5000,2214.511538,0.5956,2022
1888.333333,5000,2229.083322,0.6056,1972
1978.833333,5000,2244.186373,0.5886,2057
1977.0,5000,2259.004457,0.5846,2077
1887.0,5000,2273.244652,0.604,1980
1946.666667,5000,2287.457664,0.5918,2041
1875.333333,5000,2302.200307,0.608,1960
1908.916667,5000,2317.336467,0.599,2005
1974.166667,5000,2332.273162,0.587,2065
1878.166667,5000,2347.061738,0.605,1975
1875.666667,5000,2362.004493,0.6064,1968
1922.5,5000,2377.670058,0.5964,2018
1826.166667,5000,2393.926889,0.6174,1913
1896.416667,5000,2409.856635,0.6016,1992
1898.5,5000,2425.758198,0.6012,1994
1919.166667,5000,2440.989995,0.5988,2006
1905.25,5000,2455.871485,0.6016,1992
1841.833333,5000,2470.342423,0.6132,1934
1888.0,5000,2485.501436,0.6038,1981
1937.75,5000,2500.292992,0.594,2030
