#{"t_start": 1703117591.525356, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
1042.083333,5000,16.061241,0.7794,1103
1072.25,5000,30.688167,0.7738,1131
1308.083333,5000,46.201238,0.7236,1382
1497.833333,5000,60.194749,0.6856,1572
1625.533333,5000,75.679424,0.6574,1713
1660.25,5000,90.477423,0.6504,1748
1789.166667,5000,106.39979,0.6234,1883
1801.833333,5000,119.764956,0.624,1880
1856.166667,5000,133.201122,0.6096,1952
1852.333333,5000,148.258295,0.6116,1942
1850.666667,5000,162.054197,0.6118,1941
1857.166667,5000,176.92742,0.6094,1953
1883.666667,5000,190.464749,0.605,1975
1876.666667,5000,204.630212,0.6076,1962
1898.666667,5000,218.763778,0.6006,1997
1817.416667,5000,234.555779,0.6194,1903
1864.75,5000,248.359364,0.606,1970
1860.0,5000,263.32806,0.6098,1951
1839.833333,5000,278.95508,0.613,1935
1904.333333,5000,293.804137,0.6028,1986
1877.25,5000,309.445663,0.608,1960
1854.416667,5000,323.972225,0.6094,1953
1805.166667,5000,339.740181,0.6208,1896
1911.833333,5000,354.440752,0.602,1990
1841.666667,5000,370.289926,0.6114,1943
1938.833333,5000,384.287903,0.5932,2034
1915.0,5000,397.719897,0.5976,2012
1863.166667,5000,411.917989,0.6084,1958
1895.666667,5000,425.679382,0.6062,1969
1914.75,5000,441.316074,0.5958,2021
1908.5,5000,455.486054,0.6004,1998
1880.166667,5000,470.480899,0.6078,1961
1874.833333,5000,483.977817,0.6046,1977
1892.833333,5000,498.237266,0.602,1990
1821.5,5000,511.626142,0.6186,1907
1914.916667,5000,524.944178,0.5978,2011
1852.5,5000,539.164396,0.6122,1939
1862.5,5000,553.179344,0.6104,1948
1847.333333,5000,569.000584,0.609,1955
1892.166667,5000,583.26872,0.603,1985
1966.416667,5000,598.692288,0.5896,2052
1881.0,5000,613.173135,0.6078,1961
1935.333333,5000,627.352751,0.596,2020
1872.166667,5000,642.273077,0.6058,1971
1909.166667,5000,657.325058,0.5992,2004
1926.333333,5000,672.244495,0.596,2020
1887.0,5000,686.628313,0.6052,1974
1842.833333,5000,702.106682,0.6154,1923
1803.0,5000,716.305373,0.622,1890
1943.666667,5000,731.162397,0.5936,2032
1938.166667,5000,745.372978,0.5958,2021
1927.5,5000,758.831777,0.5948,2026
1900.0,5000,773.733459,0.6012,1994
1908.166667,5000,788.336119,0.5996,2002
1872.0,5000,802.960418,0.6076,1962
1888.25,5000,817.148854,0.602,1990
1817.0,5000,832.258094,0.6192,1904
1953.333333,5000,846.875216,0.5896,2052
