#{"t_start": 1703123190.9533825, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
1072.75,5000,16.129079,0.7754,1123
1141.75,5000,29.859801,0.7612,1194
1326.833333,5000,44.318412,0.7188,1406
1490.083333,5000,58.660252,0.6842,1579
1633.833333,5000,73.7227,0.655,1725
1681.333333,5000,87.94845,0.645,1775
1801.666667,5000,102.903105,0.621,1895
1839.0,5000,117.110935,0.6168,1916
1837.333333,5000,131.370841,0.615,1925
1809.083333,5000,146.589741,0.6184,1908
1829.916667,5000,160.862458,0.6156,1922
1826.5,5000,175.864145,0.6152,1924
1858.0,5000,190.048001,0.6108,1946
1857.583333,5000,205.026615,0.6112,1944
1865.916667,5000,219.30931,0.608,1960
1827.833333,5000,234.469996,0.6168,1916
1834.166667,5000,248.61781,0.613,1935
1864.916667,5000,262.731363,0.6086,1957
1842.666667,5000,277.701282,0.615,1925
1917.333333,5000,292.267538,0.5992,2004
1891.333333,5000,308.966648,0.6028,1986
1859.0,5000,324.094569,0.6102,1949
1861.0,5000,340.369867,0.6108,1946
1896.166667,5000,355.720089,0.6044,1978
1821.0,5000,372.35074,0.6168,1916
1940.166667,5000,387.092759,0.5932,2034
1925.0,5000,401.617735,0.5956,2022
1853.25,5000,417.066369,0.6102,1949
1865.0,5000,432.371785,0.6106,1947
1949.833333,5000,447.30008,0.591,2045
1895.0,5000,461.362981,0.6042,1979
1868.25,5000,476.250666,0.6094,1953
1873.5,5000,490.577002,0.6054,1973
1926.916667,5000,506.206249,0.5964,2018
1809.166667,5000,521.116559,0.621,1895
1929.666667,5000,535.915596,0.5956,2022
1847.166667,5000,551.654694,0.6124,1938
1833.166667,5000,566.28593,0.6144,1928
1887.833333,5000,582.002166,0.6034,1983
1886.666667,5000,596.841191,0.606,1970
1978.083333,5000,612.490047,0.5854,2073
1888.083333,5000,627.423028,0.6036,1982
1910.5,5000,642.412368,0.5992,2004
1851.833333,5000,658.4178,0.6124,1938
1951.0,5000,674.227572,0.591,2045
1931.0,5000,690.018737,0.5944,2028
1912.666667,5000,704.434883,0.598,2010
1811.416667,5000,719.322096,0.6192,1904
1816.333333,5000,733.399904,0.62,1900
1935.833333,5000,749.681711,0.5956,2022
1892.0,5000,764.800942,0.6046,1977
1934.416667,5000,779.793489,0.5934,2033
1879.166667,5000,795.877419,0.6062,1969
1864.166667,5000,811.532096,0.6082,1959
1902.166667,5000,828.269693,0.6012,1994
1926.916667,5000,842.997314,0.5942,2029
1855.333333,5000,858.552167,0.6116,1942
1920.0,5000,873.419026,0.5968,2016
1842.5,5000,889.528642,0.6148,1926
1879.833333,5000,904.372528,0.605,1975
1902.5,5000,918.982536,0.6006,1997
1902.5,5000,934.457353,0.6012,1994
1847.833333,5000,949.097236,0.6132,1934
1894.5,5000,964.585035,0.6032,1984
1927.166667,5000,979.538642,0.5964,2018
1943.5,5000,995.179477,0.595,2025
1844.166667,5000,1009.917864,0.611,1945
1896.666667,5000,1025.280837,0.6034,1983
1899.833333,5000,1040.014362,0.5992,2004
1874.166667,5000,1054.684691,0.6074,1963
1868.5,5000,1070.06672,0.611,1945
1894.75,5000,1084.649546,0.6006,1997
1949.5,5000,1100.297562,0.5916,2042
1842.333333,5000,1115.281383,0.6148,1926
1902.5,5000,1130.425133,0.602,1990
1892.333333,5000,1144.96506,0.6036,1982
1811.583333,5000,1159.35257,0.6212,1894
1904.616667,5000,1174.220945,0.6002,1999
1884.5,5000,1188.417393,0.6048,1976
1870.0,5000,1203.920426,0.6096,1952
1841.333333,5000,1218.238661,0.6108,1946
1886.833333,5000,1233.386734,0.6064,1968
