#{"t_start": 1703094524.2558749, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
290.758705,5000,32.620282,0.8662,669
440.95,5000,62.803177,0.8062,969
488.933333,5000,92.918592,0.7836,1082
492.859524,5000,123.388844,0.7822,1089
529.55119,5000,153.004242,0.7684,1158
517.609524,5000,183.010328,0.773,1135
521.466667,5000,212.619707,0.7724,1138
529.116667,5000,242.484755,0.7676,1162
545.578571,5000,271.898616,0.761,1195
520.2,5000,301.892044,0.7718,1141
521.133333,5000,331.673295,0.7736,1132
529.97619,5000,361.392786,0.7686,1157
546.360714,5000,391.097347,0.7598,1201
537.783333,5000,421.362789,0.7642,1179
508.7,5000,451.247849,0.7776,1112
515.716667,5000,481.520961,0.7768,1116
531.877381,5000,511.793687,0.7674,1163
524.266667,5000,541.856007,0.7718,1141
524.566667,5000,571.442294,0.7686,1157
541.866667,5000,601.389871,0.764,1180
518.366667,5000,631.345263,0.7738,1131
518.305159,5000,662.913754,0.7738,1131
515.95119,5000,698.298253,0.7756,1122
533.783333,5000,737.33339,0.7672,1164
516.919048,5000,768.755724,0.7728,1136
540.75119,5000,798.730643,0.7604,1198
520.383333,5000,828.694177,0.771,1145
524.592857,5000,858.488756,0.7704,1148
531.566667,5000,887.605206,0.7674,1163
534.528571,5000,916.933452,0.7656,1172
531.717857,5000,946.199722,0.768,1160
524.866667,5000,975.199484,0.7722,1139
544.533333,5000,1004.583679,0.7606,1197
519.769048,5000,1034.013562,0.7686,1157
506.27619,5000,1063.349595,0.7806,1097
531.483333,5000,1092.288854,0.7676,1162
497.033333,5000,1121.359615,0.7844,1078
526.209524,5000,1150.116754,0.7698,1151
520.359524,5000,1178.807082,0.7724,1138
494.266667,5000,1207.348754,0.7838,1081
548.95,5000,1236.049074,0.7574,1213
520.666667,5000,1264.922871,0.7718,1141
521.535714,5000,1295.427575,0.7712,1144
514.25,5000,1324.682477,0.7744,1128
538.733333,5000,1353.418665,0.7634,1183
528.97619,5000,1382.510146,0.7684,1158
533.809524,5000,1411.710901,0.7682,1159
514.45,5000,1440.895208,0.7772,1114
529.333333,5000,1470.287066,0.7672,1164
538.842857,5000,1500.092708,0.7642,1179
534.159524,5000,1529.280418,0.7638,1181
535.909524,5000,1558.364211,0.7636,1182
539.784524,5000,1587.794271,0.7632,1184
513.333333,5000,1617.220205,0.775,1125
514.716667,5000,1646.536218,0.7768,1116
518.034524,5000,1675.473336,0.7754,1123
528.019048,5000,1704.276241,0.769,1155
533.35119,5000,1733.426589,0.7658,1171
514.566667,5000,1762.583802,0.7744,1128
517.134524,5000,1791.524853,0.7716,1142
538.766667,5000,1820.671288,0.7622,1189
521.65,5000,1850.108849,0.7712,1144
524.933333,5000,1879.704841,0.771,1145
537.37619,5000,1908.816665,0.7632,1184
519.566667,5000,1938.523446,0.7724,1138
522.366667,5000,1967.834713,0.7704,1148
526.75,5000,1997.350892,0.7682,1159
521.483333,5000,2026.628443,0.771,1145
510.135714,5000,2055.974916,0.7764,1118
517.416667,5000,2084.912945,0.7716,1142
495.316667,5000,2113.865983,0.7828,1086
543.892857,5000,2142.859634,0.7616,1192
522.245635,5000,2171.621751,0.7674,1163
515.35,5000,2200.652077,0.7722,1139
536.6,5000,2230.060323,0.7652,1174
523.916667,5000,2259.292346,0.7694,1153
512.666667,5000,2288.244527,0.776,1120
543.669048,5000,2317.463116,0.7604,1198
529.742857,5000,2346.868189,0.7672,1164
515.983333,5000,2376.375883,0.7746,1127
510.516667,5000,2406.213794,0.7792,1104
551.75,5000,2435.691556,0.7576,1212
539.861905,5000,2465.205301,0.7638,1181
517.459524,5000,2494.502173,0.7716,1142
512.866667,5000,2523.705989,0.7776,1112
516.395238,5000,2552.775652,0.7712,1144
537.516667,5000,2581.972566,0.7642,1179
526.859524,5000,2610.901342,0.7682,1159
514.1,5000,2639.762785,0.7756,1122
528.352381,5000,2668.584564,0.7656,1172
535.235714,5000,2697.571336,0.765,1175
521.25119,5000,2726.365431,0.7712,1144
531.45,5000,2755.709416,0.767,1165
527.116667,5000,2784.852861,0.7688,1156
515.02619,5000,2814.0338,0.7732,1134
525.852381,5000,2843.363368,0.7686,1157
511.752381,5000,2873.109174,0.7762,1119
540.316667,5000,2902.050067,0.7634,1183
536.017857,5000,2931.47415,0.7618,1191
525.303571,5000,2960.634683,0.7666,1167
542.784524,5000,2989.156198,0.7602,1199
520.116667,5000,3018.277518,0.7718,1141
532.783333,5000,3046.773736,0.7674,1163
532.733333,5000,3075.574929,0.766,1170
537.809524,5000,3104.055583,0.7638,1181
550.592857,5000,3132.893325,0.7586,1207
548.87619,5000,3161.559351,0.7576,1212
530.85,5000,3190.510488,0.7668,1166
546.5,5000,3219.422966,0.7588,1206
512.833333,5000,3248.649125,0.7754,1123
533.833333,5000,3277.33953,0.767,1165
519.317857,5000,3306.824056,0.7738,1131
542.383333,5000,3336.231177,0.7596,1202
534.209524,5000,3365.265253,0.7646,1177
555.159524,5000,3394.360924,0.7558,1221
538.042857,5000,3423.388969,0.761,1195
533.966667,5000,3452.363501,0.766,1170
536.42619,5000,3481.362256,0.7654,1173
530.928571,5000,3510.554652,0.7638,1181
524.934524,5000,3539.334078,0.7696,1152
536.65,5000,3568.310107,0.7632,1184
527.616667,5000,3597.147184,0.7692,1154
520.2,5000,3626.046902,0.7718,1141
520.509524,5000,3654.727162,0.7686,1157
525.017857,5000,3684.032094,0.7668,1166
518.977381,5000,3712.965911,0.7716,1142
527.911905,5000,3742.10881,0.768,1160
508.966667,5000,3771.057534,0.7768,1116
526.383333,5000,3800.920734,0.7702,1149
523.12619,5000,3830.069533,0.7692,1154
526.15,5000,3859.213534,0.7694,1153
530.77619,5000,3888.029505,0.766,1170
523.617857,5000,3916.943009,0.77,1150
523.85,5000,3945.788413,0.7702,1149
542.37619,5000,3974.613316,0.76,1200
528.716667,5000,4003.366025,0.7688,1156
521.883333,5000,4032.110521,0.7722,1139
538.65,5000,4060.793064,0.7626,1187
538.4,5000,4089.461553,0.7628,1186
526.466667,5000,4118.131387,0.771,1145
510.45,5000,4147.209991,0.7764,1118
537.634524,5000,4176.084375,0.7628,1186
524.016667,5000,4205.265547,0.7688,1156
526.17619,5000,4234.164712,0.7666,1167
502.466667,5000,4263.699047,0.7802,1099
513.433333,5000,4292.579332,0.7736,1132
526.442857,5000,4322.206451,0.7678,1161
541.133333,5000,4353.812326,0.7614,1193
552.227381,5000,4388.878838,0.7556,1222
532.735714,5000,4423.492074,0.7654,1173
544.916667,5000,4453.543032,0.7602,1199
529.65,5000,4483.308723,0.767,1165
527.216667,5000,4512.284396,0.7666,1167
543.702381,5000,4540.935519,0.7616,1192
538.534524,5000,4570.253679,0.762,1190
541.733333,5000,4599.180204,0.761,1195
521.67619,5000,4628.402743,0.7726,1137
547.45,5000,4657.369034,0.7618,1191
544.65,5000,4686.333019,0.7614,1193
528.259524,5000,4715.224062,0.7684,1158
540.883333,5000,4744.847165,0.7612,1194
535.159524,5000,4774.505891,0.7666,1167
533.083333,5000,4803.799834,0.766,1170
525.65,5000,4833.16308,0.772,1140
521.566667,5000,4862.207272,0.7702,1149
509.07619,5000,4891.191645,0.7776,1112
520.367857,5000,4919.419986,0.7736,1132
533.116667,5000,4948.419742,0.766,1170
543.3,5000,4977.061093,0.7604,1198
562.316667,5000,5005.69362,0.7498,1251
527.978571,5000,5034.238978,0.7652,1174
533.333333,5000,5063.278345,0.7652,1174
543.1,5000,5092.089871,0.763,1185
566.242857,5000,5121.453234,0.7484,1258
540.409524,5000,5150.952535,0.7602,1199
537.262302,5000,5179.989976,0.7656,1172
541.883333,5000,5209.434709,0.763,1185
534.692857,5000,5239.042195,0.7656,1172
512.32619,5000,5268.133161,0.7784,1108
550.05119,5000,5297.34967,0.7574,1213
526.033333,5000,5326.451332,0.7688,1156
525.883333,5000,5355.468609,0.7688,1156
540.15,5000,5384.335338,0.761,1195
526.209524,5000,5413.172994,0.77,1150
521.342857,5000,5442.052945,0.771,1145
538.85,5000,5470.856513,0.7648,1176
540.816667,5000,5499.721392,0.7632,1184
526.45,5000,5528.901231,0.771,1145
538.416667,5000,5557.648993,0.7622,1189
518.883333,5000,5586.682814,0.7706,1147
516.02619,5000,5615.684092,0.7724,1138
532.35,5000,5644.871707,0.7662,1169
528.828571,5000,5674.340065,0.7666,1167
551.233333,5000,5703.527395,0.7572,1214
558.416667,5000,5732.684862,0.7522,1239
530.292857,5000,5761.71957,0.7654,1173
542.05119,5000,5790.769394,0.7604,1198
521.252381,5000,5819.747164,0.7722,1139
544.316667,5000,5848.854823,0.763,1185
508.212302,5000,5877.560992,0.7756,1122
528.609524,5000,5906.621008,0.7676,1162
557.55,5000,5935.213478,0.7542,1229
541.833333,5000,5964.148575,0.761,1195
528.483333,5000,5992.910678,0.7678,1161
516.40119,5000,6022.27999,0.774,1130
530.1,5000,6051.550377,0.7686,1157
545.45119,5000,6080.59886,0.7586,1207
539.52619,5000,6109.535804,0.7624,1188
556.842857,5000,6138.999821,0.7538,1231
528.417857,5000,6168.01019,0.7688,1156
561.066667,5000,6197.216454,0.7526,1237
568.983333,5000,6226.206215,0.7502,1249
543.72619,5000,6255.305488,0.7608,1196
544.021825,5000,6284.261127,0.7596,1202
558.045635,5000,6312.853158,0.7532,1234
536.266667,5000,6341.669056,0.7658,1171
544.159524,5000,6370.413593,0.762,1190
537.07619,5000,6399.412988,0.7642,1179
547.816667,5000,6428.130969,0.7578,1211
529.95,5000,6457.072541,0.7684,1158
514.333333,5000,6485.703269,0.776,1120
540.32619,5000,6514.947425,0.764,1180
537.209524,5000,6543.920803,0.764,1180
527.942857,5000,6573.47276,0.7686,1157
535.492857,5000,6603.100891,0.7662,1169
519.833333,5000,6632.263275,0.7692,1154
529.516667,5000,6661.377527,0.7692,1154
533.416667,5000,6690.455387,0.7666,1167
528.319048,5000,6719.325114,0.7678,1161
511.259524,5000,6748.135311,0.775,1125
545.0,5000,6776.988935,0.7608,1196
534.317857,5000,6805.6963,0.766,1170
556.766667,5000,6834.39435,0.7578,1211
538.77619,5000,6863.26886,0.7648,1176
539.416667,5000,6892.274252,0.7628,1186
533.210714,5000,6921.357642,0.7652,1174
515.966667,5000,6950.151801,0.7734,1133
534.7,5000,6979.300122,0.7654,1173
524.402381,5000,7008.293705,0.7698,1151
532.759524,5000,7037.333653,0.7648,1176
539.092857,5000,7066.714286,0.7622,1189
526.083333,5000,7095.89787,0.7678,1161
547.216667,5000,7125.014106,0.7604,1198
545.566667,5000,7154.10746,0.7602,1199
539.652381,5000,7183.230296,0.7616,1192
557.95,5000,7212.413827,0.755,1225
551.885714,5000,7241.236454,0.7576,1212
531.15,5000,7270.142505,0.7666,1167
551.55119,5000,7299.086663,0.7578,1211
528.85,5000,7327.786443,0.769,1155
543.17619,5000,7356.639134,0.7624,1188
555.329401,5000,7385.554415,0.753,1235
535.766667,5000,7414.679977,0.7646,1177
536.383333,5000,7443.656773,0.765,1175
540.819048,5000,7473.407843,0.7602,1199
553.766667,5000,7502.556034,0.7576,1212
536.117857,5000,7532.2199,0.7656,1172
535.659524,5000,7561.296018,0.7654,1173
551.916667,5000,7590.589086,0.7584,1208
544.435714,5000,7619.519299,0.7614,1193
550.119048,5000,7648.558327,0.7566,1217
539.166667,5000,7677.375277,0.761,1195
526.7,5000,7707.539874,0.7696,1152
548.816667,5000,7737.053458,0.7574,1213
559.483333,5000,7767.6385,0.7526,1237
529.559524,5000,7796.351963,0.7648,1176
538.283333,5000,7825.210348,0.7648,1176
549.392857,5000,7854.328195,0.7572,1214
546.059524,5000,7883.474093,0.7606,1197
535.512302,5000,7912.911893,0.7644,1178
554.333333,5000,7942.385763,0.757,1215
529.8,5000,7971.660576,0.7694,1153
536.366667,5000,8001.373743,0.7624,1188
540.016667,5000,8030.76892,0.7622,1189
535.284524,5000,8060.038243,0.7658,1171
523.833333,5000,8088.946486,0.7708,1146
531.033333,5000,8117.755933,0.7642,1179
546.52619,5000,8146.592944,0.7592,1204
511.8,5000,8175.467758,0.7758,1121
547.459524,5000,8204.045874,0.7594,1203
549.42619,5000,8233.054727,0.7576,1212
524.702381,5000,8261.941754,0.768,1160
531.392857,5000,8290.590025,0.7662,1169
526.25,5000,8319.232267,0.7686,1157
533.752381,5000,8348.422132,0.7664,1168
546.216667,5000,8377.546334,0.759,1205
546.228571,5000,8406.651264,0.7584,1208
537.367857,5000,8435.571057,0.7638,1181
520.866667,5000,8464.896038,0.7716,1142
535.25,5000,8494.026138,0.7654,1173
538.533333,5000,8523.220536,0.762,1190
514.866667,5000,8552.425792,0.7744,1128
533.973016,5000,8581.140252,0.7632,1184
558.55,5000,8610.268706,0.7538,1231
532.742857,5000,8638.785949,0.7654,1173
539.652381,5000,8667.740885,0.7598,1201
558.069048,5000,8696.310656,0.7522,1239
542.759524,5000,8725.029193,0.7592,1204
531.85,5000,8753.741274,0.7668,1166
563.202381,5000,8782.617805,0.7534,1233
534.866667,5000,8811.450083,0.766,1170
524.845238,5000,8840.461409,0.7696,1152
551.234524,5000,8869.599773,0.7568,1216
561.17619,5000,8898.621677,0.7522,1239
561.25,5000,8928.370036,0.752,1240
542.183333,5000,8957.699693,0.7598,1201
524.05,5000,8987.063577,0.7674,1163
542.855159,5000,9016.03493,0.7592,1204
530.716667,5000,9044.96692,0.7664,1168
536.866667,5000,9074.306515,0.7656,1172
547.833333,5000,9103.73227,0.7588,1206
546.583333,5000,9132.742821,0.7594,1203
565.528571,5000,9161.859352,0.75,1250
529.116667,5000,9190.916907,0.7674,1163
557.559524,5000,9220.136582,0.7562,1219
530.533333,5000,9249.949253,0.7666,1167
550.269048,5000,9279.629213,0.7562,1219
535.083333,5000,9308.72886,0.7648,1176
532.619048,5000,9338.62734,0.7652,1174
521.416667,5000,9368.444331,0.7718,1141
537.15,5000,9398.291083,0.7664,1168
536.277381,5000,9428.10062,0.7626,1187
550.702381,5000,9457.871574,0.7562,1219
534.942857,5000,9487.023855,0.765,1175
533.284524,5000,9516.354775,0.7658,1171
538.05,5000,9545.640175,0.7618,1191
545.416667,5000,9574.976846,0.7606,1197
540.97619,5000,9604.66165,0.7614,1193
559.366667,5000,9634.234531,0.7556,1222
543.442857,5000,9663.938563,0.761,1195
550.778571,5000,9693.050571,0.7552,1224
552.109524,5000,9721.66564,0.7566,1217
550.609524,5000,9751.980833,0.7566,1217
535.394048,5000,9781.6889,0.7624,1188
542.233333,5000,9811.818618,0.7614,1193
535.242857,5000,9842.179937,0.7662,1169
543.1,5000,9872.05858,0.7614,1193
575.884524,5000,9901.701576,0.745,1275
542.62619,5000,9931.936606,0.7628,1186
546.65,5000,9961.710722,0.7616,1192
522.659524,5000,9992.02041,0.7724,1138
543.109524,5000,10021.341758,0.762,1190
552.209524,5000,10050.834481,0.7564,1218
548.433333,5000,10079.800709,0.76,1200
538.559524,5000,10108.70066,0.763,1185
547.636905,5000,10137.644886,0.756,1220
537.17619,5000,10167.156744,0.7626,1187
540.0,5000,10196.401335,0.7618,1191
552.059524,5000,10225.851785,0.758,1210
548.709524,5000,10255.161602,0.7586,1207
557.07619,5000,10284.686628,0.7564,1218
565.183333,5000,10314.119927,0.7536,1232
544.042857,5000,10344.005982,0.7604,1198
538.7,5000,10373.735295,0.7632,1184
538.85119,5000,10403.465661,0.7618,1191
531.528968,5000,10432.92163,0.7652,1174
542.545635,5000,10461.814893,0.7592,1204
522.194048,5000,10491.079411,0.769,1155
533.828968,5000,10519.97877,0.765,1175
529.142857,5000,10549.39632,0.7668,1166
545.616667,5000,10578.464829,0.7598,1201
510.942857,5000,10607.674072,0.775,1125
539.214683,5000,10636.447593,0.7616,1192
542.283333,5000,10665.648334,0.7608,1196
546.47619,5000,10694.811151,0.761,1195
515.685714,5000,10724.017027,0.7724,1138
526.316667,5000,10753.539378,0.7706,1147
535.728571,5000,10783.134743,0.7606,1197
549.35,5000,10812.655803,0.759,1205
540.134524,5000,10842.259416,0.7642,1179
524.019048,5000,10871.769256,0.7684,1158
555.683333,5000,10901.466441,0.755,1225
546.242857,5000,10930.897031,0.7602,1199
523.633333,5000,10959.815333,0.7706,1147
553.778571,5000,10988.96419,0.7572,1214
539.32619,5000,11017.956634,0.7616,1192
530.009524,5000,11046.95636,0.7684,1158
535.702381,5000,11076.022548,0.7646,1177
521.084524,5000,11105.310558,0.7724,1138
537.809524,5000,11134.418669,0.7638,1181
558.059524,5000,11163.74057,0.7552,1224
540.533333,5000,11192.939219,0.7642,1179
532.016667,5000,11222.355123,0.7664,1168
558.05,5000,11252.062093,0.7546,1227
561.659524,5000,11281.806363,0.753,1235
537.55,5000,11311.281048,0.7654,1173
542.066667,5000,11340.667415,0.763,1185
561.30119,5000,11370.06014,0.7512,1244
563.142857,5000,11400.175822,0.751,1245
541.009524,5000,11429.237499,0.7612,1194
516.792857,5000,11458.428362,0.774,1130
533.309524,5000,11487.737245,0.7638,1181
528.462302,5000,11516.94961,0.7684,1158
549.766667,5000,11546.014848,0.761,1195
534.383333,5000,11575.368014,0.7664,1168
532.709524,5000,11604.583312,0.767,1165
544.317857,5000,11633.975116,0.7596,1202
536.35119,5000,11663.422481,0.7636,1182
533.216667,5000,11692.787108,0.7684,1158
548.583333,5000,11722.344769,0.7586,1207
